"filename", "language", "Ignore", "json", "Svelte", "JavaScript", "Markdown", "JSON", "YAML", "HTML", "CSS", "comment", "blank", "total"
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/reset-password/+page.svelte", "Svelte", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 45
"c:/Users/r3dux/Repositories/project-nexum/.eslintrc.cjs", "JavaScript", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"c:/Users/r3dux/Repositories/project-nexum/.prettierignore", "Ignore", -11, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -14
"c:/Users/r3dux/Repositories/project-nexum/.prettierrc", "JSON", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -1, -10
"c:/Users/r3dux/Repositories/project-nexum/README.md", "Markdown", 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, -16, -50
"c:/Users/r3dux/Repositories/project-nexum/package.json", "JSON", 0, 0, 0, 0, 0, -46, 0, 0, 0, 0, -1, -47
"c:/Users/r3dux/Repositories/project-nexum/playwright.config.js", "JavaScript", 0, 0, 0, -9, 0, 0, 0, 0, 0, -1, -2, -12
"c:/Users/r3dux/Repositories/project-nexum/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, -1802, 0, 0, 0, -276, -2078
"c:/Users/r3dux/Repositories/project-nexum/postcss.config.cjs", "JavaScript", 0, 0, 0, -9, 0, 0, 0, 0, 0, -2, -3, -14
"c:/Users/r3dux/Repositories/project-nexum/src/app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -75, -15, -18, -108
"c:/Users/r3dux/Repositories/project-nexum/src/app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -16, 0, -24, -1, -41
"c:/Users/r3dux/Repositories/project-nexum/src/hooks.server.js", "JavaScript", 0, 0, 0, -28, 0, 0, 0, 0, 0, -1, -7, -36
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/Badge.svelte", "Svelte", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -3, -20
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/ChatGPT.svelte", "Svelte", 0, 0, -60, 0, 0, 0, 0, 0, 0, -40, -7, -107
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/DashboardHeader.svelte", "Svelte", 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, -10, -73
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/FeatureCard.svelte", "Svelte", 0, 0, -17, 0, 0, 0, 0, 0, 0, -6, -3, -26
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/Footer.svelte", "Svelte", 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, -1, -52
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/Hero.svelte", "Svelte", 0, 0, -25, 0, 0, 0, 0, 0, 0, 0, -3, -28
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/Input.svelte", "Svelte", 0, 0, -36, 0, 0, 0, 0, 0, 0, 0, -3, -39
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/Modal.svelte", "Svelte", 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, -3, -24
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/MyPageItem.svelte", "Svelte", 0, 0, -87, 0, 0, 0, 0, 0, 0, 0, -12, -99
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/PageCard.svelte", "Svelte", 0, 0, -75, 0, 0, 0, 0, 0, 0, 0, -8, -83
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/PersonCard.svelte", "Svelte", 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, -2, -37
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/Shortcuts.svelte", "Svelte", 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, -6, -33
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/Stats.svelte", "Svelte", 0, 0, -47, 0, 0, 0, 0, 0, 0, 0, -6, -53
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/TextArea.svelte", "Svelte", 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, -5, -39
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/ToolTipButton.svelte", "Svelte", 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -2, -15
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/WYSIWYG.svelte", "Svelte", 0, 0, -71, 0, 0, 0, 0, 0, 0, 0, -7, -78
"c:/Users/r3dux/Repositories/project-nexum/src/lib/components/index.js", "JavaScript", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -1, -31
"c:/Users/r3dux/Repositories/project-nexum/src/lib/schemas.js", "JavaScript", 0, 0, 0, -171, 0, 0, 0, 0, 0, -1, -20, -192
"c:/Users/r3dux/Repositories/project-nexum/src/lib/store.js", "JavaScript", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -3, -7
"c:/Users/r3dux/Repositories/project-nexum/src/lib/utils.js", "JavaScript", 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, -6, -35
"c:/Users/r3dux/Repositories/project-nexum/src/routes/+layout.server.js", "JavaScript", 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -2, -12
"c:/Users/r3dux/Repositories/project-nexum/src/routes/+layout.svelte", "Svelte", 0, 0, -191, 0, 0, 0, 0, 0, 0, -3, -10, -204
"c:/Users/r3dux/Repositories/project-nexum/src/routes/+page.server.js", "JavaScript", 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, -6, -50
"c:/Users/r3dux/Repositories/project-nexum/src/routes/+page.svelte", "Svelte", 0, 0, -156, 0, 0, 0, 0, 0, 0, -17, -21, -194
"c:/Users/r3dux/Repositories/project-nexum/src/routes/about/+page.svelte", "Svelte", 0, 0, -342, 0, 0, 0, 0, 0, 0, -4, -35, -381
"c:/Users/r3dux/Repositories/project-nexum/src/routes/ai/+page.svelte", "Svelte", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -2, -8
"c:/Users/r3dux/Repositories/project-nexum/src/routes/api/chat/+server.js", "JavaScript", 0, 0, 0, -19, 0, 0, 0, 0, 0, -5, -5, -29
"c:/Users/r3dux/Repositories/project-nexum/src/routes/api/dump/+server.js", "JavaScript", 0, 0, 0, -13, 0, 0, 0, 0, 0, -1, -4, -18
"c:/Users/r3dux/Repositories/project-nexum/src/routes/login/+page.server.js", "JavaScript", 0, 0, 0, -27, 0, 0, 0, 0, 0, -1, -5, -33
"c:/Users/r3dux/Repositories/project-nexum/src/routes/login/+page.svelte", "Svelte", 0, 0, -71, 0, 0, 0, 0, 0, 0, -19, -4, -94
"c:/Users/r3dux/Repositories/project-nexum/src/routes/logout/+server.js", "JavaScript", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -3, -9
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/dashboard/+page.server.js", "JavaScript", 0, 0, 0, -52, 0, 0, 0, 0, 0, -3, -7, -62
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/dashboard/+page.svelte", "Svelte", 0, 0, -206, 0, 0, 0, 0, 0, 0, -17, -26, -249
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/pages/+page.server.js", "JavaScript", 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, -6, -44
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/pages/+page.svelte", "Svelte", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, -2, -21
"c:/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/+layout.server.js", "JavaScript", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -2, -8
